,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1,O1 20/10/2018 F F0118001 RICHEROT OFB MIJOUX OUI 11/02/2019 Vulpes vulpes,1,20/10/2018,F,F0118001,RICHEROT,OFB,MIJOUX,OUI,11/02/2019,Vulpes vulpes,,,,
2,O1 17/11/2018 F F0118002 GAULARD FDC MIJOUX OUI 17/02/2020 Vulpes vulpes,1,17/11/2018,F,F0118002,GAULARD,FDC,MIJOUX,OUI,17/02/2020,Vulpes vulpes,,,,
3,O1 26/05/2019 P P0119001 POULY OFB ARMIX NON RENARD,1,26/05/2019,P,P0119001,POULY,OFB,ARMIX,NON,,RENARD,,,,
4,"O1 27/05/2019 F F0119001 POULY OFB LA BURBANCHE OUI 26/10/2020 Canis lupus Italo-alpine XY S71-016 0,94",1,27/05/2019,F,F0119001,POULY,OFB,LA BURBANCHE,OUI,26/10/2020,Canis lupus,Italo-alpine,XY,S71-016,"0,94"
5,O1 31/07/2019 F F0119002 BAZIREAU OFB HOSTIAS OUI 10/06/2020 Impossible NA,1,31/07/2019,F,F0119002,BAZIREAU,OFB,HOSTIAS,OUI,10/06/2020,Impossible NA,,,,
6,O1 31/07/2019 F F0119003 BAZIREAU OFB ST MARTIN DU MONT OUI 08/02/2021 Vulpes vulpes,1,31/07/2019,F,F0119003,BAZIREAU,OFB,ST MARTIN DU MONT,OUI,08/02/2021,Vulpes vulpes,,,,
7,O1 15/10/2019 F F0119004 CADIER RNHCJ MIJOUX NON,1,15/10/2019,F,F0119004,CADIER,RNHCJ,MIJOUX,NON,,,,,,
8,O1 15/03/2020 F F0120001 DUMONT AEM VESANCY NON,1,15/03/2020,F,F0120001,DUMONT,AEM,VESANCY,NON,,,,,,
9,"02 18/01/2019 D D0219001 MARANDET OFB MONTAIGU OUI 11/02/2019 Canis familiaris NA XX CH-S58-01 1,00",2,18/01/2019,D,D0219001,MARANDET,OFB,MONTAIGU,OUI,11/02/2019,Canis familiaris,NA,XX,CH-S58-01,1
10,02 30/05/2019 F F0219001 NIANGNOT OFB SAINT-PIERREMONT OUI 14/11/2019 Vulpes vulpes,2,30/05/2019,F,F0219001,NIANGNOT,OFB,SAINT-PIERREMONT,OUI,14/11/2019,Vulpes vulpes,,,,
11,02 31/05/2019 P P0219001 FUND OFB SAINT-PIERREMONT OUI 14/11/2019 Vulpes vulpes,2,31/05/2019,P,P0219001,FUND,OFB,SAINT-PIERREMONT,OUI,14/11/2019,Vulpes vulpes,,,,
